driver_id,abbreviation,permanent_number,full_name,f1_country_code,nationality,is_british,source_type,source_url,source_note
ric,RIC,3,Daniel Ricciardo,AUS,Australian,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
rus,RUS,63,George Russell,GBR,British,True,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
sai,SAI,55,Carlos Sainz,ESP,Spanish,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
sar,SAR,2,Logan Sargeant,USA,American,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
sir,SIR,35,Sergey Sirotkin,RUS,Russian,False,official_formula1_article,https://www.formula1.com/en/latest/article/i-fought-every-single-moment-sirotkin-on-his-battling-singapore-drive.5YKcbYVFCMauwAASMai44M,Official Formula 1 report identifies Sirotkin as Russian.
str,STR,18,Lance Stroll,CAN,Canadian,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
tsu,TSU,22,Yuki Tsunoda,JPN,Japanese,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
van,VAN,2,Stoffel Vandoorne,BEL,Belgian,False,official_formula1_article,https://www.formula1.com/en/latest/article/lights-to-flag-stoffel-vandoorne-on-his-unexpected-f1-debut-partnering.2GXolGfJ0C7cvkkZv6jox7,Official Formula 1 profile identifies Vandoorne as Belgian.
ver,VER,33,Max Verstappen,NED,Dutch,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
vet,VET,5,Sebastian Vettel,GER,German,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
zho,ZHO,24,Guanyu Zhou,CHN,Chinese,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
