adjudication_instance_id,adjudication_id,incident_id,document_id,event_id,session_type,accused_driver_number,incident_time_raw,event_timezone,clock_lower_utc,clock_upper_utc,possible_accused_laps,possible_lap_count,single_lap_candidate,mapping_basis,known_model_reviewed_lap,known_lap_within_clock_window,clock_mapping_review_status
adjudication-seed-fia-2018-bhr-37959695abd9-01,adj-f085f5d8e175f3e4,incident-src-f085f5d8e175f3e4,fia-2018-bhr-37959695abd9,2018-bhr,Race,28,18:14,+03:00,2018-04-08T15:14:00+00:00,2018-04-08T15:15:00+00:00,1,1,1,fia_clock_pre_start_first_lap_tolerance,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-bra-1cf7293f9bee-01,adj-39523131c9d9684d,incident-src-39523131c9d9684d,fia-2018-bra-1cf7293f9bee,2018-bra,Race,31,16:06,-02:00,2018-11-11T18:06:00+00:00,2018-11-11T18:07:00+00:00,42|43,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-can-6ea0e0275da8-01,adj-1bf13c58d15a0c62,incident-src-1bf13c58d15a0c62,fia-2018-can-6ea0e0275da8,2018-can,Race,18,14:13,-04:00,2018-06-10T18:13:00+00:00,2018-06-10T18:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-can-fa41432364aa-01,adj-f0841610b6a2725d,incident-src-f0841610b6a2725d,fia-2018-can-fa41432364aa,2018-can,Race,55,14:21,-04:00,2018-06-10T18:21:00+00:00,2018-06-10T18:22:00+00:00,4|5,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-chn-ad3c0076d583-01,adj-171323b01c7fd2e4,incident-src-171323b01c7fd2e4,fia-2018-chn-ad3c0076d583,2018-chn,Race,10,15:02,+08:00,2018-04-15T07:02:00+00:00,2018-04-15T07:03:00+00:00,29,1,29,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-chn-e98fbe4695b8-01,adj-04b290c26ab9e55d,incident-src-04b290c26ab9e55d,fia-2018-chn-e98fbe4695b8,2018-chn,Race,33,15:28,+08:00,2018-04-15T07:28:00+00:00,2018-04-15T07:29:00+00:00,43|44,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-esp-231d287cafcd-01,adj-9fe86942c422bf75,incident-src-9fe86942c422bf75,fia-2018-esp-231d287cafcd,2018-esp,Race,8,15:13,+02:00,2018-05-13T13:13:00+00:00,2018-05-13T13:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-fra-505561fd0edc-01,adj-7f9ab5cd4940bce4,incident-src-7f9ab5cd4940bce4,fia-2018-fra-505561fd0edc,2018-fra,Race,31,16:13,+02:00,2018-06-24T14:13:00+00:00,2018-06-24T14:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-fra-80f5d9447315-01,adj-edac40e1e7230ec7,incident-src-edac40e1e7230ec7,fia-2018-fra-80f5d9447315,2018-fra,Race,8,16:13,+02:00,2018-06-24T14:13:00+00:00,2018-06-24T14:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-fra-db6e1870bc40-01,adj-ff2eb72501ff888f,incident-src-ff2eb72501ff888f,fia-2018-fra-db6e1870bc40,2018-fra,Race,10,16:13,+02:00,2018-06-24T14:13:00+00:00,2018-06-24T14:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-fra-e65d0d06dbb7-01,adj-2528c2aa99cc8fa3,incident-src-2528c2aa99cc8fa3,fia-2018-fra-e65d0d06dbb7,2018-fra,Race,5,16:13,+02:00,2018-06-24T14:13:00+00:00,2018-06-24T14:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-gbr-33466a876bdd-01,adj-f0f6dfe8d6cd5cc8,incident-src-f0f6dfe8d6cd5cc8,fia-2018-gbr-33466a876bdd,2018-gbr,Race,10,15:38,+01:00,2018-07-08T14:38:00+00:00,2018-07-08T14:39:00+00:00,50|51,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-gbr-70534cc8d2b4-01,adj-e2c907d5f1895cff,incident-src-e2c907d5f1895cff,fia-2018-gbr-70534cc8d2b4,2018-gbr,Race,8,15:18,+01:00,2018-07-08T14:18:00+00:00,2018-07-08T14:19:00+00:00,,0,,fia_clock_unmatched_to_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-gbr-c4ec3bfd58d1-01,adj-71bfdbf175be2808,incident-group-5f15a97b01053cd7,fia-2018-gbr-c4ec3bfd58d1,2018-gbr,Race,20,14:13,+01:00,2018-07-08T13:13:00+00:00,2018-07-08T13:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-gbr-dbd297e3a1ec-01,adj-5085c3b16294abcf,incident-group-5f15a97b01053cd7,fia-2018-gbr-dbd297e3a1ec,2018-gbr,Race,8,14:13,+01:00,2018-07-08T13:13:00+00:00,2018-07-08T13:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-gbr-f20a2f7cd356-01,adj-5384303bfd85706c,incident-src-5384303bfd85706c,fia-2018-gbr-f20a2f7cd356,2018-gbr,Race,7,14:13,+01:00,2018-07-08T13:13:00+00:00,2018-07-08T13:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-hun-4bfaca494290-01,adj-dd118f0c5b27dc3e,incident-src-dd118f0c5b27dc3e,fia-2018-hun-4bfaca494290,2018-hun,Race,77,16:46,+02:00,2018-07-29T14:46:00+00:00,2018-07-29T14:47:00+00:00,67|68,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-ita-46eec3615f40-01,adj-baf8a03a8e84a2b5,incident-group-dc038f07ea0cd46a,fia-2018-ita-46eec3615f40,2018-ita,Race,44,15:14,+02:00,2018-09-02T13:14:00+00:00,2018-09-02T13:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-ita-4bcc40bb113b-01,adj-87372849846bf17f,incident-src-87372849846bf17f,fia-2018-ita-4bcc40bb113b,2018-ita,Race,33,16:15,+02:00,2018-09-02T14:15:00+00:00,2018-09-02T14:16:00+00:00,42|43,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-ita-a3456e32915c-01,adj-3d3f08ac55cefb43,incident-group-dc038f07ea0cd46a,fia-2018-ita-a3456e32915c,2018-ita,Race,5,15:14,+02:00,2018-09-02T13:14:00+00:00,2018-09-02T13:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-jpn-81677672dab7-01,adj-ee4d64c6c65cfaa2,incident-src-ee4d64c6c65cfaa2,fia-2018-jpn-81677672dab7,2018-jpn,Race,5,14:28,+09:00,2018-10-07T05:28:00+00:00,2018-10-07T05:29:00+00:00,8,1,8,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-jpn-a4bf4fc25a1f-01,adj-98570c1c2d9d82a6,incident-src-98570c1c2d9d82a6,fia-2018-jpn-a4bf4fc25a1f,2018-jpn,Race,18,14:15,+09:00,2018-10-07T05:15:00+00:00,2018-10-07T05:16:00+00:00,1|2,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-jpn-af0be8505555-01,adj-590d4355a3039791,incident-src-590d4355a3039791,fia-2018-jpn-af0be8505555,2018-jpn,Race,14,14:15,+09:00,2018-10-07T05:15:00+00:00,2018-10-07T05:16:00+00:00,1|2,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-jpn-b456aafdefec-01,adj-00d141181cb75914,incident-src-00d141181cb75914,fia-2018-jpn-b456aafdefec,2018-jpn,Race,16,14:15,+09:00,2018-10-07T05:15:00+00:00,2018-10-07T05:16:00+00:00,1|2,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-jpn-d5d56e0426c6-01,adj-d87dc3e3ddc100a9,incident-src-d87dc3e3ddc100a9,fia-2018-jpn-d5d56e0426c6,2018-jpn,Race,33,14:15,+09:00,2018-10-07T05:15:00+00:00,2018-10-07T05:16:00+00:00,1|2,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-mco-a3c31b11ff12-01,adj-1e31200d5298f217,incident-src-1e31200d5298f217,fia-2018-mco-a3c31b11ff12,2018-mco,Race,16,16:46,+02:00,2018-05-27T14:46:00+00:00,2018-05-27T14:47:00+00:00,71,1,71,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-mex-3075233c69d9-01,adj-f55b2703a638bc6a,incident-src-f55b2703a638bc6a,fia-2018-mex-3075233c69d9,2018-mex,Race,31,14:25,-06:00,2018-10-28T20:25:00+00:00,2018-10-28T20:26:00+00:00,50|51,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-mex-9fdf8480489c-01,adj-ed88cdc8e4ae5c06,incident-src-ed88cdc8e4ae5c06,fia-2018-mex-9fdf8480489c,2018-mex,Race,28,14:08,-06:00,2018-10-28T20:08:00+00:00,2018-10-28T20:09:00+00:00,38|39,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-rus-cf28ebf731bb-01,adj-76bf6d21078e4ab1,incident-src-76bf6d21078e4ab1,fia-2018-rus-cf28ebf731bb,2018-rus,Race,5,14:39,+03:00,2018-09-30T11:39:00+00:00,2018-09-30T11:40:00+00:00,16,1,16,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-sgp-21e75b934044-01,adj-793e772ff47ab03e,incident-src-793e772ff47ab03e,fia-2018-sgp-21e75b934044,2018-sgp,Race,20,21:19,+08:00,2018-09-16T13:19:00+00:00,2018-09-16T13:20:00+00:00,34|35,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-sgp-329a49e8cbe6-01,adj-e07caee25859dbf7,incident-src-e07caee25859dbf7,fia-2018-sgp-329a49e8cbe6,2018-sgp,Race,35,21:35,+08:00,2018-09-16T13:35:00+00:00,2018-09-16T13:36:00+00:00,43,1,43,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-sgp-bcfc0b21409a-01,adj-153d9abced4119b1,incident-src-153d9abced4119b1,fia-2018-sgp-bcfc0b21409a,2018-sgp,Race,11,20:13,+08:00,2018-09-16T12:13:00+00:00,2018-09-16T12:14:00+00:00,1,1,1,fia_clock_lap_interval,1,True,algorithmic_pending_human_validation
adjudication-seed-fia-2018-sgp-d22646811c1a-01,adj-3ca06449fb896289,incident-src-3ca06449fb896289,fia-2018-sgp-d22646811c1a,2018-sgp,Race,11,21:17,+08:00,2018-09-16T13:17:00+00:00,2018-09-16T13:18:00+00:00,33|34,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-usa-2f4f21fa003f-01,adj-f66c13b6dc6edb50,incident-src-f66c13b6dc6edb50,fia-2018-usa-2f4f21fa003f,2018-usa,Race,8,13:14,-05:00,2018-10-21T18:14:00+00:00,2018-10-21T18:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-usa-49d225f5fb07-01,adj-8c049b3df629e78e,incident-src-8c049b3df629e78e,fia-2018-usa-49d225f5fb07,2018-usa,Race,55,13:13,-05:00,2018-10-21T18:13:00+00:00,2018-10-21T18:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-usa-856ae8b1622a-01,adj-e7b2995ef053dcc6,incident-src-e7b2995ef053dcc6,fia-2018-usa-856ae8b1622a,2018-usa,Race,18,13:14,-05:00,2018-10-21T18:14:00+00:00,2018-10-21T18:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-usa-b97b2be7b15e-01,adj-225ff90f36c849d0,incident-src-225ff90f36c849d0,fia-2018-usa-b97b2be7b15e,2018-usa,Race,3,13:14,-05:00,2018-10-21T18:14:00+00:00,2018-10-21T18:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-usa-dc3270dd6cb6-01,adj-99ac5bce501847b9,incident-src-99ac5bce501847b9,fia-2018-usa-dc3270dd6cb6,2018-usa,Race,5,13:14,-05:00,2018-10-21T18:14:00+00:00,2018-10-21T18:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-abu-e94aca06904a-01,adj-995c2c2bf5c5a2da,incident-group-8adf0ddcdc980b9a,fia-2019-abu-e94aca06904a,2019-abu,Race,88,17:52,+04:00,2019-12-01T13:52:00+00:00,2019-12-01T13:53:00+00:00,22|23,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-abu-eed6b57f5b3f-01,adj-bff9e3e79b9d2b32,incident-group-8adf0ddcdc980b9a,fia-2019-abu-eed6b57f5b3f,2019-abu,Race,99,17:52,+04:00,2019-12-01T13:52:00+00:00,2019-12-01T13:53:00+00:00,22|23,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-aut-529bae08f480-01,adj-524c6675088fdc18,incident-src-524c6675088fdc18,fia-2019-aut-529bae08f480,2019-aut,Race,33,16:31,+02:00,2019-06-30T14:31:00+00:00,2019-06-30T14:32:00+00:00,68|69,2,,fia_clock_lap_interval,69,True,algorithmic_pending_human_validation
adjudication-seed-fia-2019-aut-f8011f674d7f-01,adj-a7a3ac083e4cb040,incident-src-a7a3ac083e4cb040,fia-2019-aut-f8011f674d7f,2019-aut,Race,16,16:31,+02:00,2019-06-30T14:31:00+00:00,2019-06-30T14:32:00+00:00,68|69,2,,fia_clock_lap_interval,69,True,algorithmic_pending_human_validation
adjudication-seed-fia-2019-aze-9a6772a3acaf-01,adj-58045adf2d642c7b,incident-src-58045adf2d642c7b,fia-2019-aze-9a6772a3acaf,2019-aze,Race,3,17:09,+04:00,2019-04-28T13:09:00+00:00,2019-04-28T13:10:00+00:00,31,1,31,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bel-0c5b8806e8e5-01,adj-12ea78eb0fa53af2,incident-src-12ea78eb0fa53af2,fia-2019-bel-0c5b8806e8e5,2019-bel,Race,11,16:37,+02:00,2019-09-01T14:37:00+00:00,2019-09-01T14:38:00+00:00,44,1,44,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bhr-132a9d8aa9de-01,adj-8f6c033b94586d1e,incident-src-8f6c033b94586d1e,fia-2019-bhr-132a9d8aa9de,2019-bhr,Race,33,18:18,+03:00,2019-03-31T15:18:00+00:00,2019-03-31T15:19:00+00:00,3|4,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bhr-1365948cf7e0-01,adj-8ac64d49533b4e49,incident-src-8ac64d49533b4e49,fia-2019-bhr-1365948cf7e0,2019-bhr,Race,99,18:32,+03:00,2019-03-31T15:32:00+00:00,2019-03-31T15:33:00+00:00,12,1,12,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bhr-2a5a65873384-01,adj-5375e3c95251badb,incident-src-5375e3c95251badb,fia-2019-bhr-2a5a65873384,2019-bhr,Race,55,18:18,+03:00,2019-03-31T15:18:00+00:00,2019-03-31T15:19:00+00:00,3|4,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bhr-afcfec60fa35-01,adj-a2465e3be559632e,incident-src-a2465e3be559632e,fia-2019-bhr-afcfec60fa35,2019-bhr,Race,26,18:32,+03:00,2019-03-31T15:32:00+00:00,2019-03-31T15:33:00+00:00,12,1,12,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bra-0197a870d5b2-01,adj-bb68ecdf3fcd7591,incident-group-0717c3bfd5f08779,fia-2019-bra-0197a870d5b2,2019-bra,Race,16,15:36,-03:00,2019-11-17T18:36:00+00:00,2019-11-17T18:37:00+00:00,65|66,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bra-38ee05c4fb59-01,adj-14f4d4ae4c61c0d1,incident-group-0717c3bfd5f08779,fia-2019-bra-38ee05c4fb59,2019-bra,Race,5,15:36,-03:00,2019-11-17T18:36:00+00:00,2019-11-17T18:37:00+00:00,65|66,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bra-810d6e70c069-01,adj-7a979b9c5e405e83,incident-src-7a979b9c5e405e83,fia-2019-bra-810d6e70c069,2019-bra,Race,44,15:44,-03:00,2019-11-17T18:44:00+00:00,2019-11-17T18:45:00+00:00,70,1,70,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-bra-b956905dbc4f-01,adj-75ad7140f56a82b0,incident-src-75ad7140f56a82b0,fia-2019-bra-b956905dbc4f,2019-bra,Race,3,14:22,-03:00,2019-11-17T17:22:00+00:00,2019-11-17T17:23:00+00:00,8,1,8,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-can-dceb9101c747-01,adj-5a2a22f5fc1a849d,incident-src-5a2a22f5fc1a849d,fia-2019-can-dceb9101c747,2019-can,Race,5,15:13,-04:00,2019-06-09T19:13:00+00:00,2019-06-09T19:14:00+00:00,47|48,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-chn-50a2b4dfbc09-01,adj-fb33cf1dee9a141c,incident-src-fb33cf1dee9a141c,fia-2019-chn-50a2b4dfbc09,2019-chn,Race,26,14:14,+08:00,2019-04-14T06:14:00+00:00,2019-04-14T06:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-deu-439337838994-01,adj-f35eb28ba1d26794,incident-src-f35eb28ba1d26794,fia-2019-deu-439337838994,2019-deu,Race,10,17:01,+02:00,2019-07-28T15:01:00+00:00,2019-07-28T15:02:00+00:00,62,1,62,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-esp-1de5310a284d-01,adj-93a2deb70e9576d9,incident-src-93a2deb70e9576d9,fia-2019-esp-1de5310a284d,2019-esp,Race,18,16:15,+02:00,2019-05-12T14:15:00+00:00,2019-05-12T14:16:00+00:00,44|45,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-esp-c8e31ce09c58-01,adj-08067a85a17122aa,incident-src-08067a85a17122aa,fia-2019-esp-c8e31ce09c58,2019-esp,Race,4,16:15,+02:00,2019-05-12T14:15:00+00:00,2019-05-12T14:16:00+00:00,44|45,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-fra-457ded17de98-01,adj-ea059e019eeba972,incident-src-ea059e019eeba972,fia-2019-fra-457ded17de98,2019-fra,Race,3,16:37,+02:00,2019-06-23T14:37:00+00:00,2019-06-23T14:38:00+00:00,52,1,52,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-fra-a0c241fafdd8-01,adj-d573e773779fee7e,incident-src-d573e773779fee7e,fia-2019-fra-a0c241fafdd8,2019-fra,Race,11,15:13,+02:00,2019-06-23T13:13:00+00:00,2019-06-23T13:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-fra-a2fbe5bfb237-01,adj-9cc41bec5ee322a6,incident-src-9cc41bec5ee322a6,fia-2019-fra-a2fbe5bfb237,2019-fra,Race,3,16:37,+02:00,2019-06-23T14:37:00+00:00,2019-06-23T14:38:00+00:00,52,1,52,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-gbr-9cce23a29f05-01,adj-4ae27a945be232f3,incident-src-4ae27a945be232f3,fia-2019-gbr-9cce23a29f05,2019-gbr,Race,5,15:12,+01:00,2019-07-14T14:12:00+00:00,2019-07-14T14:13:00+00:00,37|38,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-ita-5d8bd476d009-01,adj-0a2995f1d6aad572,incident-src-0a2995f1d6aad572,fia-2019-ita-5d8bd476d009,2019-ita,Race,5,15:21,+02:00,2019-09-08T13:21:00+00:00,2019-09-08T13:22:00+00:00,6,1,6,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-ita-e4746c5c634f-01,adj-c74375d6086c31ed,incident-src-c74375d6086c31ed,fia-2019-ita-e4746c5c634f,2019-ita,Race,23,15:24,+02:00,2019-09-08T13:24:00+00:00,2019-09-08T13:25:00+00:00,8,1,8,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-ita-ef49a857f7de-01,adj-fce27d672a231903,incident-src-fce27d672a231903,fia-2019-ita-ef49a857f7de,2019-ita,Race,18,15:21,+02:00,2019-09-08T13:21:00+00:00,2019-09-08T13:22:00+00:00,6,1,6,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-jpn-4a022963168d-01,adj-44686757f581c309,incident-group-dee3045f08ed8de7,fia-2019-jpn-4a022963168d,2019-jpn,Race,16,14:13,+09:00,2019-10-13T05:13:00+00:00,2019-10-13T05:14:00+00:00,1,1,1,fia_clock_lap_interval,1,True,algorithmic_pending_human_validation
adjudication-seed-fia-2019-jpn-8f4df880b95b-01,adj-667d6bb8743116ef,incident-group-9d7ca07e87909a4b,fia-2019-jpn-8f4df880b95b,2019-jpn,Race,10,15:35,+09:00,2019-10-13T06:35:00+00:00,2019-10-13T06:36:00+00:00,51|52,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2019-jpn-9be40f8bba4d-01,adj-634036e33dc05333,incident-group-dee3045f08ed8de7,fia-2019-jpn-9be40f8bba4d,2019-jpn,Race,33,14:13,+09:00,2019-10-13T05:13:00+00:00,2019-10-13T05:14:00+00:00,1,1,1,fia_clock_lap_interval,1,True,algorithmic_pending_human_validation
