adjudication_instance_id,adjudication_id,incident_id,document_id,event_id,session_type,incident_family,accused_driver_number,affected_driver_numbers,location_model_reviewed,lap_model_reviewed,incident_lap_candidate,incident_lap_basis,incident_lap_window_min,incident_lap_window_max,possible_accused_laps,clock_lower_utc,clock_upper_utc,clock_mapping_basis,referral_episode_id,referral_link_status,referral_link_score,message_lap_upper_bound,message_lap_last,race_control_process_statuses,race_control_messages_json,first_lap_candidate,wet_track_candidate,safety_car_restart_candidate,attacker_line_candidate,overlap_candidate,corner_phase_candidate,control_error_candidate,context_evidence_json,context_review_status,timing_review_status,context_reviewer_id,context_reviewed_at,context_review_notes,guideline_regime,outcome_family,penalty_seconds,penalty_points,grid_places,fault_language,match_incident_key,sanction_outcome,fault_conditioned_group_size,conditional_analysis_status
adjudication-seed-fia-2018-fra-505561fd0edc-01,adj-7f9ab5cd4940bce4,incident-src-7f9ab5cd4940bce4,fia-2018-fra-505561fd0edc,2018-fra,Race,causing_collision,31,10,Turn 3,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-06-24T14:13:00+00:00,2018-06-24T14:14:00+00:00,fia_clock_lap_interval,referral-b8d75cb18fc7f059,candidate_pending_review,11.0,3.0,5.0,investigation|post_session_investigation,"[""INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION"", ""INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) WILL BE INVESTIGATED AFTER THE RACE""]",True,False,False,unknown,unknown,apex,False,"{""corner_phase"": [""The driver of car 31 was optimistic in his move from the left of the track across to the apex of the corner.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,reprimand,,,,shared_fault,referral-b8d75cb18fc7f059,True,8,descriptive_pending_human_review
adjudication-seed-fia-2018-fra-db6e1870bc40-01,adj-ff2eb72501ff888f,incident-src-ff2eb72501ff888f,fia-2018-fra-db6e1870bc40,2018-fra,Race,causing_collision,10,31,Turn 3,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-06-24T14:13:00+00:00,2018-06-24T14:14:00+00:00,fia_clock_lap_interval,referral-b8d75cb18fc7f059,candidate_pending_review,11.0,3.0,5.0,investigation|post_session_investigation,"[""INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION"", ""INCIDENT INVOLVING CARS 10 (GAS) AND 31 (OCO) WILL BE INVESTIGATED AFTER THE RACE""]",True,False,False,unknown,unknown,apex,False,"{""corner_phase"": [""The driver of car 31 was optimistic in his move from the left of the track across to the apex of the corner.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,reprimand,,,,shared_fault,referral-b8d75cb18fc7f059,True,8,descriptive_pending_human_review
adjudication-seed-fia-2018-gbr-33466a876bdd-01,adj-f0f6dfe8d6cd5cc8,incident-src-f0f6dfe8d6cd5cc8,fia-2018-gbr-33466a876bdd,2018-gbr,Race,causing_collision,10,11,"Turns 17, 16",,51,race_control_explicit_lap_candidate_link,50,51,50|51,2018-07-08T14:38:00+00:00,2018-07-08T14:39:00+00:00,fia_clock_lap_interval,referral-bc126f304171b19a,candidate_pending_review,8.0,52.0,52.0,investigation,"[""LAP 51 TURN 17 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) UNDER INVESTIGATION""]",False,False,False,unknown,unknown,apex,False,"{""corner_phase"": [""However, Gasly touched the sausage kerb at the apex of turn 16 which caused him to collide with Perez.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,5,2,,predominantly_to_blame,referral-bc126f304171b19a,True,15,descriptive_pending_human_review
adjudication-seed-fia-2018-mex-9fdf8480489c-01,adj-ed88cdc8e4ae5c06,incident-src-ed88cdc8e4ae5c06,fia-2018-mex-9fdf8480489c,2018-mex,Race,causing_collision,28,31,Turn 2,,,unresolved,38,39,38|39,2018-10-28T20:08:00+00:00,2018-10-28T20:09:00+00:00,fia_clock_lap_interval,referral-b17d5267b718b8b8,candidate_pending_review,10.0,44.0,44.0,investigation,"[""TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 28 (HAR) UNDER INVESTIGATION""]",False,False,False,unknown,unknown,apex,False,"{""corner_phase"": [""The Stewards determined that Car 28 (Hartley) failed to leave sufficient room for Car 31 (Ocon) at the Apex of Turn 2 and was wholly to blame for the collision that followed.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,5,2,,wholly_to_blame,referral-b17d5267b718b8b8,True,17,descriptive_pending_human_review
adjudication-seed-fia-2018-sgp-21e75b934044-01,adj-793e772ff47ab03e,incident-src-793e772ff47ab03e,fia-2018-sgp-21e75b934044,2018-sgp,Race,causing_collision,20,28,Turn 7,,,unresolved,34,35,34|35,2018-09-16T13:19:00+00:00,2018-09-16T13:20:00+00:00,fia_clock_lap_interval,referral-3d0594eb680a4801,candidate_pending_review,12.0,39.0,42.0,investigation|no_further_action,"[""TURN 7 INCIDENT INVOLVING CARS 20 (MAG) AND 28 (HAR) UNDER INVESTIGATION"", ""TURN 7 INCIDENT INVOLVING CARS 28 (HAR) AND 20 (MAG) - NO FURTHER ACTION""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,no_further_action,,,,predominantly_to_blame,referral-3d0594eb680a4801,False,15,descriptive_pending_human_review
adjudication-seed-fia-2018-usa-856ae8b1622a-01,adj-e7b2995ef053dcc6,incident-src-e7b2995ef053dcc6,fia-2018-usa-856ae8b1622a,2018-usa,Race,causing_collision,18,14,Turn 4,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-10-21T18:14:00+00:00,2018-10-21T18:15:00+00:00,fia_clock_lap_interval,referral-e9894fb0b2d999fc,candidate_pending_review,8.0,6.0,6.0,sanction_announced,"[""DRIVE THROUGH PENALTY FOR CAR 18 (STR) - CAUSING A COLLISION""]",True,False,False,unknown,unknown,unknown,False,"{""first_lap"": [""The Stewards reviewed the video evidence, noting that during the first lap car 18 left the track and while re-joining at turn 4 made contact with car 14.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,drive_through,,2,,wholly_to_blame,referral-e9894fb0b2d999fc,True,17,descriptive_pending_human_review
adjudication-seed-fia-2019-bra-b956905dbc4f-01,adj-75ad7140f56a82b0,incident-src-75ad7140f56a82b0,fia-2019-bra-b956905dbc4f,2019-bra,Race,causing_collision,3,20,Turn 4,,8,fia_incident_clock_single_lap_interval,8,8,8,2019-11-17T17:22:00+00:00,2019-11-17T17:23:00+00:00,fia_clock_lap_interval,referral-8eaeadc8694923f5,candidate_pending_review,10.0,9.0,11.0,noted|investigation,"[""TURN 4 INCIDENT INVOLVING CARS 20 (MAG) AND 3 (RIC) NOTED"", ""TURN 4 INCIDENT INVOLVING CARS 3 (RIC) AND 20 (MAG) UNDER INVESTIGATION""]",False,False,False,unknown,unknown,apex,False,"{""corner_phase"": [""At the apex of the corner, Car 3 had a slight lock up of the left front which caused him to understeer and a collision ensued at the exit of the corner.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,5,2,,predominantly_to_blame,referral-8eaeadc8694923f5,True,15,descriptive_pending_human_review
adjudication-seed-fia-2019-chn-50a2b4dfbc09-01,adj-fb33cf1dee9a141c,incident-src-fb33cf1dee9a141c,fia-2019-chn-50a2b4dfbc09,2019-chn,Race,causing_collision,26,,Turn 6,,1,fia_incident_clock_single_lap_interval,1,1,1,2019-04-14T06:14:00+00:00,2019-04-14T06:15:00+00:00,fia_clock_lap_interval,referral-e2a1e81ca9f578ea,high_confidence_algorithmic,14.0,3.0,6.0,noted|investigation|sanction_announced,"[""TURN 6 INCIDENT INVOLVING CARS 4 (NOR), 55 (SAI) AND 26 (KVY) NOTED"", ""TURN 6 INCIDENT INVOLVING CARS 4 (NOR), 26 (KVY) AND 55 (SAI) UNDER INVESTIGATION - CAUSING A COLLISION"", ""DRIVE THROUGH PENALTY FOR CAR 26 (KVY) - CAUSING A COLLISION""]",True,False,False,unknown,unknown,unknown,True,"{""control_error"": [""The Stewards reviewed video evidence and concluded that the driver of car 26, (Daniil Kvyat), lost control of his car at the exit of turn 6 and hit the cars to his left.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,drive_through,,2,,wholly_to_blame,referral-e2a1e81ca9f578ea,True,17,descriptive_pending_human_review
adjudication-seed-fia-2019-gbr-9cce23a29f05-01,adj-4ae27a945be232f3,incident-src-4ae27a945be232f3,fia-2019-gbr-9cce23a29f05,2019-gbr,Race,causing_collision,5,33,Turn 16,,,unresolved,37,38,37|38,2019-07-14T14:12:00+00:00,2019-07-14T14:13:00+00:00,fia_clock_lap_interval,referral-b688b56fa9892053,high_confidence_algorithmic,15.0,38.0,43.0,investigation|sanction_announced,"[""TURN 16 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 5 (VET) - CAUSING A COLLISION""]",False,False,False,unknown,unknown,unknown,True,"{""control_error"": [""The Stewards reviewed the video evidence which showed car 5 locked wheels under braking and collided with the rear of car 33.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,10,2,,wholly_to_blame,referral-b688b56fa9892053,True,17,descriptive_pending_human_review
adjudication-seed-fia-2019-jpn-4a022963168d-01,adj-44686757f581c309,incident-group-dee3045f08ed8de7,fia-2019-jpn-4a022963168d,2019-jpn,Race,causing_collision,16,33,Turns 1-2,1,1,model_reviewed_source_or_timing,1,1,1,2019-10-13T05:13:00+00:00,2019-10-13T05:14:00+00:00,fia_clock_lap_interval,referral-f400bd65ec68bae4,high_confidence_algorithmic,14.0,2.0,7.0,no_investigation|investigation,"[""TURN 2 INCIDENT INVOLVING CARS 16 (LEC) AND 33 (VER) NOTED - NO INVESTIGATION NECESSARY"", ""LAP 1, TURN 2 INCIDENT INVOLVING CARS 16 (LEC) AND 33 (VER) NOW UNDER INVESTIGATION - CAUSING A COLLISION""]",True,False,False,inside,alongside,apex,False,"{""attacker_line"": [""Car 16 and car 33 were side by side as they transited turn 1 and approached turn 2 on the first lap, with car 16 on the inside.""], ""corner_phase"": [""As the cars approached the apex of turn 2, car 33, which was marginally in front, stayed wide and allowed sufficient room to the inside but car 16 lost front grip in the wake of the car in front and abruptly understeered towards the outside of the track, contacting car 33 and forcing it off the track.""], ""first_lap"": [""Incident between car 16 and car 33 in turn 1 on Lap 1."", ""Car 16 and car 33 were side by side as they transited turn 1 and approached turn 2 on the first lap, with car 16 on the inside."", ""This is a somewhat unusual first lap incident, as only these cars were directly involved, so few of the normal mitigating circumstances exist.""], ""overlap"": [""Car 16 and car 33 were side by side as they transited turn 1 and approached turn 2 on the first lap, with car 16 on the inside.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,5,2,,predominantly_to_blame,referral-f400bd65ec68bae4,True,15,descriptive_pending_human_review
adjudication-seed-fia-2019-jpn-8f4df880b95b-01,adj-667d6bb8743116ef,incident-group-9d7ca07e87909a4b,fia-2019-jpn-8f4df880b95b,2019-jpn,Race,causing_collision,10,11,Turn 2,,,unresolved,51,52,51|52,2019-10-13T06:35:00+00:00,2019-10-13T06:36:00+00:00,fia_clock_lap_interval,referral-a5288224a70f7a28,high_confidence_algorithmic,13.0,53.0,53.0,investigation,"[""TURN 2 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) UNDER INVESTIGATION - CAUSING A COLLISION""]",False,False,False,ambiguous_both_lines_mentioned,alongside,apex,False,"{""attacker_line"": [""Both drivers contributed to the contact as car 11, who was slightly in front and on the outside of the track took a narrow line towards the apex of turn 2, while car 10 on the inside of the track, and likely not fully visible to car 11, did not take as tight a line as was possible through the apex prior to the contact."", ""Both drivers contributed to the contact as car 11, who was slightly in front and on the outside of the track took a narrow line towards the apex of turn 2, while car 10 on the inside of the track, and likely not fully visible to car 11, did not take as tight a line as was possible through the apex prior to the contact.""], ""corner_phase"": [""The Stewards reviewed video evidence, and determined that cars 11 and 10 while transiting turns 1 and 2 side by side, with car 11 attempting an outside pass, made contact near the apex of turn 2, causing car 11 to leave the track."", ""Both drivers contributed to the contact as car 11, who was slightly in front and on the outside of the track took a narrow line towards the apex of turn 2, while car 10 on the inside of the track, and likely not fully visible to car 11, did not take as tight a line as was possible through the apex prior to the contact.""], ""overlap"": [""The Stewards reviewed video evidence, and determined that cars 11 and 10 while transiting turns 1 and 2 side by side, with car 11 attempting an outside pass, made contact near the apex of turn 2, causing car 11 to leave the track.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,no_further_action,,,,shared_fault,referral-a5288224a70f7a28,False,8,descriptive_pending_human_review
adjudication-seed-fia-2019-jpn-9be40f8bba4d-01,adj-634036e33dc05333,incident-group-dee3045f08ed8de7,fia-2019-jpn-9be40f8bba4d,2019-jpn,Race,causing_collision,33,16,Turns 1-2,1,1,model_reviewed_source_or_timing,1,1,1,2019-10-13T05:13:00+00:00,2019-10-13T05:14:00+00:00,fia_clock_lap_interval,referral-f400bd65ec68bae4,high_confidence_algorithmic,16.0,2.0,7.0,no_investigation|investigation,"[""TURN 2 INCIDENT INVOLVING CARS 16 (LEC) AND 33 (VER) NOTED - NO INVESTIGATION NECESSARY"", ""LAP 1, TURN 2 INCIDENT INVOLVING CARS 16 (LEC) AND 33 (VER) NOW UNDER INVESTIGATION - CAUSING A COLLISION""]",True,False,False,inside,alongside,apex,False,"{""attacker_line"": [""Car 16 and car 33 were side by side as they transited turn 1 and approached turn 2 on the first lap, with car 16 on the inside.""], ""corner_phase"": [""As the cars approached the apex of turn 2, car 33, which was marginally in front, stayed wide and allowed sufficient room to the inside but car 16 lost front grip in the wake of the car in front and abruptly understeered towards the outside of the track, contacting car 33 and forcing it off the track.""], ""first_lap"": [""Incident between car 16 and car 33 in turn 1 on Lap 1."", ""Car 16 and car 33 were side by side as they transited turn 1 and approached turn 2 on the first lap, with car 16 on the inside."", ""This is a somewhat unusual first lap incident, as only these cars were directly involved, so few of the normal mitigating circumstances exist.""], ""overlap"": [""Car 16 and car 33 were side by side as they transited turn 1 and approached turn 2 on the first lap, with car 16 on the inside.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,no_further_action,,,,predominantly_to_blame,referral-f400bd65ec68bae4,False,15,descriptive_pending_human_review
adjudication-seed-fia-2019-jpn-ddc6b3eef5b1-01,adj-acc76c36ad0d55b6,incident-group-9d7ca07e87909a4b,fia-2019-jpn-ddc6b3eef5b1,2019-jpn,Race,causing_collision,11,10,Turn 2,,,unresolved,51,52,51|52,2019-10-13T06:35:00+00:00,2019-10-13T06:36:00+00:00,fia_clock_lap_interval,referral-a5288224a70f7a28,high_confidence_algorithmic,13.0,53.0,53.0,investigation,"[""TURN 2 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) UNDER INVESTIGATION - CAUSING A COLLISION""]",False,False,False,ambiguous_both_lines_mentioned,alongside,apex,False,"{""attacker_line"": [""Both drivers contributed to the contact as car 11, who was slightly in front and on the outside of the track took a narrow line towards the apex of turn 2, while car 10 on the inside of the track, and likely not fully visible to car 11, did not take as tight a line as was possible through the apex prior to the contact."", ""Both drivers contributed to the contact as car 11, who was slightly in front and on the outside of the track took a narrow line towards the apex of turn 2, while car 10 on the inside of the track, and likely not fully visible to car 11, did not take as tight a line as was possible through the apex prior to the contact.""], ""corner_phase"": [""The Stewards reviewed video evidence, and determined that cars 11 and 10 while transiting turns 1 and 2 side by side, with car 11 attempting an outside pass, made contact near the apex of turn 2, causing car 11 to leave the track."", ""Both drivers contributed to the contact as car 11, who was slightly in front and on the outside of the track took a narrow line towards the apex of turn 2, while car 10 on the inside of the track, and likely not fully visible to car 11, did not take as tight a line as was possible through the apex prior to the contact.""], ""overlap"": [""The Stewards reviewed video evidence, and determined that cars 11 and 10 while transiting turns 1 and 2 side by side, with car 11 attempting an outside pass, made contact near the apex of turn 2, causing car 11 to leave the track.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,no_further_action,,,,shared_fault,referral-a5288224a70f7a28,False,8,descriptive_pending_human_review
adjudication-seed-fia-2019-mco-8441c7d5dbef-01,adj-d5ff9f7e1e5e3e46,incident-src-d5ff9f7e1e5e3e46,fia-2019-mco-8441c7d5dbef,2019-mco,Race,causing_collision,99,88,Turn 18,,15,fia_incident_clock_single_lap_interval,15,15,15,2019-05-26T13:34:00+00:00,2019-05-26T13:35:00+00:00,fia_clock_lap_interval,referral-3c7899a89e98a80f,high_confidence_algorithmic,15.0,19.0,26.0,investigation|sanction_announced,"[""TURN 18 INCIDENT INVOLVING CARS 88 (KUB) AND 99 (GIO) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 99 (GIO) - CAUSING A COLLISION""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,10,2,,wholly_to_blame,referral-3c7899a89e98a80f,True,17,descriptive_pending_human_review
adjudication-seed-fia-2019-sgp-6c9e26d4cab3-01,adj-cde123f133b0c826,incident-group-3e6d04cc117846eb,fia-2019-sgp-6c9e26d4cab3,2019-sgp,Race,causing_collision,63,8,Turn 8,,35,fia_incident_clock_single_lap_interval,35,35,35,2019-09-22T13:17:00+00:00,2019-09-22T13:18:00+00:00,fia_clock_lap_interval,referral-5fdbc018f02e34db,candidate_pending_review,10.0,41.0,43.0,noted|investigation|post_session_investigation,"[""TURN 8 INCIDENT INVOLVING CARS 8 (GRO) AND 63 (RUS) NOTED"", ""TURN 8 INCIDENT INVOLVING CARS 8 (GRO) AND 63 (RUS) UNDER INVESTIGATION"", ""TURN 8 INCIDENT INVOLVING CARS 8 (GRO) AND 63 (RUS) WILL BE INVESTIGATED AFTER THE RACE""]",False,False,False,ambiguous_both_lines_mentioned,alongside,apex,False,"{""attacker_line"": [""Through the apex of Turn 8, Grosjean remained alongside, but as Russell had the inside line he was able to start pulling ahead."", ""As the drivers exited Turn 7 Grosjean got a run on Russell on the outside of Turn 8.""], ""corner_phase"": [""Through the apex of Turn 8, Grosjean remained alongside, but as Russell had the inside line he was able to start pulling ahead.""], ""overlap"": [""Grosjean was fully alongside Russell at the entry to Turn 8 with the cars wheel to wheel."", ""Through the apex of Turn 8, Grosjean remained alongside, but as Russell had the inside line he was able to start pulling ahead.""]}",machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,no_further_action,,,,shared_fault,referral-5fdbc018f02e34db,False,8,descriptive_pending_human_review
