adjudication_instance_id,adjudication_id_final,incident_id_final,document_id,event_id,season,session_type_final,incident_family_final,accused_driver_number_final,affected_driver_numbers_final,fault_language_final,outcome_family_final,penalty_seconds_final,penalty_points_final,grid_places_final,guideline_regime,review_status,incident_lap_candidate,incident_lap_basis,first_lap_candidate,wet_track_candidate,safety_car_restart_candidate,attacker_line_candidate,overlap_candidate,corner_phase_candidate,control_error_candidate,context_review_status,sanction_outcome,fault_established_model_review,conduct_release_status
adjudication-seed-fia-2018-chn-e98fbe4695b8-01,adj-04b290c26ab9e55d,incident-src-04b290c26ab9e55d,fia-2018-chn-e98fbe4695b8,2018-chn,2018,Race,causing_collision,33,5,predominantly_to_blame,time_penalty,10,2,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-esp-231d287cafcd-01,adj-9fe86942c422bf75,incident-src-9fe86942c422bf75,fia-2018-esp-231d287cafcd,2018-esp,2018,Race,causing_collision,8,27|10|20,no_conclusion,grid_penalty,,2,3,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-fra-505561fd0edc-01,adj-7f9ab5cd4940bce4,incident-src-7f9ab5cd4940bce4,fia-2018-fra-505561fd0edc,2018-fra,2018,Race,causing_collision,31,10,shared_fault,reprimand,,,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,apex,False,machine_extracted_pending_human_review,False,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-fra-80f5d9447315-01,adj-edac40e1e7230ec7,incident-src-edac40e1e7230ec7,fia-2018-fra-80f5d9447315,2018-fra,2018,Race,causing_collision,8,31,no_conclusion,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_corrected,1,race_control_explicit_lap_candidate_link,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-fra-db6e1870bc40-01,adj-ff2eb72501ff888f,incident-src-ff2eb72501ff888f,fia-2018-fra-db6e1870bc40,2018-fra,2018,Race,causing_collision,10,31,shared_fault,reprimand,,,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,apex,False,machine_extracted_pending_human_review,False,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-fra-e65d0d06dbb7-01,adj-2528c2aa99cc8fa3,incident-src-2528c2aa99cc8fa3,fia-2018-fra-e65d0d06dbb7,2018-fra,2018,Race,causing_collision,5,77,no_conclusion,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,inside,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-gbr-33466a876bdd-01,adj-f0f6dfe8d6cd5cc8,incident-src-f0f6dfe8d6cd5cc8,fia-2018-gbr-33466a876bdd,2018-gbr,2018,Race,causing_collision,10,11,predominantly_to_blame,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_corrected,51,race_control_explicit_lap_candidate_link,False,False,False,unknown,unknown,apex,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-gbr-70534cc8d2b4-01,adj-e2c907d5f1895cff,incident-src-e2c907d5f1895cff,fia-2018-gbr-70534cc8d2b4,2018-gbr,2018,Race,causing_collision,8,55,racing_incident,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,38,race_control_explicit_lap_candidate_link,False,False,False,outside,unknown,apex,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-gbr-c4ec3bfd58d1-01,adj-71bfdbf175be2808,incident-group-5f15a97b01053cd7,fia-2018-gbr-c4ec3bfd58d1,2018-gbr,2018,Race,causing_collision,20,8,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,race_control_explicit_lap_high_confidence_link,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-gbr-dbd297e3a1ec-01,adj-5085c3b16294abcf,incident-group-5f15a97b01053cd7,fia-2018-gbr-dbd297e3a1ec,2018-gbr,2018,Race,causing_collision,8,20,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,race_control_explicit_lap_high_confidence_link,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-gbr-f20a2f7cd356-01,adj-5384303bfd85706c,incident-src-5384303bfd85706c,fia-2018-gbr-f20a2f7cd356,2018-gbr,2018,Race,causing_collision,7,44,no_conclusion,time_penalty,10,2,,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,inside,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-hun-4bfaca494290-01,adj-dd118f0c5b27dc3e,incident-src-dd118f0c5b27dc3e,fia-2018-hun-4bfaca494290,2018-hun,2018,Race,causing_collision,77,3,no_conclusion,time_penalty,10,2,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,outside,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-ita-46eec3615f40-01,adj-baf8a03a8e84a2b5,incident-group-dc038f07ea0cd46a,fia-2018-ita-46eec3615f40,2018-ita,2018,Race,causing_collision,44,5,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-ita-4bcc40bb113b-01,adj-87372849846bf17f,incident-src-87372849846bf17f,fia-2018-ita-4bcc40bb113b,2018-ita,2018,Race,causing_collision,33,77,no_conclusion,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-ita-a3456e32915c-01,adj-3d3f08ac55cefb43,incident-group-dc038f07ea0cd46a,fia-2018-ita-a3456e32915c,2018-ita,2018,Race,causing_collision,5,44,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-jpn-81677672dab7-01,adj-ee4d64c6c65cfaa2,incident-src-ee4d64c6c65cfaa2,fia-2018-jpn-81677672dab7,2018-jpn,2018,Race,causing_collision,5,33,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,8,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-jpn-a4bf4fc25a1f-01,adj-98570c1c2d9d82a6,incident-src-98570c1c2d9d82a6,fia-2018-jpn-a4bf4fc25a1f,2018-jpn,2018,Race,forcing_off_track,18,14,no_conclusion,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-jpn-af0be8505555-01,adj-590d4355a3039791,incident-src-590d4355a3039791,fia-2018-jpn-af0be8505555,2018-jpn,2018,Race,gaining_advantage_off_track,14,,not_applicable,time_penalty,5,1,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-jpn-b456aafdefec-01,adj-00d141181cb75914,incident-src-00d141181cb75914,fia-2018-jpn-b456aafdefec,2018-jpn,2018,Race,causing_collision,16,20,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-jpn-d5d56e0426c6-01,adj-d87dc3e3ddc100a9,incident-src-d87dc3e3ddc100a9,fia-2018-jpn-d5d56e0426c6,2018-jpn,2018,Race,unsafe_rejoin,33,7,no_conclusion,time_penalty,5,1,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-mco-a3c31b11ff12-01,adj-1e31200d5298f217,incident-src-1e31200d5298f217,fia-2018-mco-a3c31b11ff12,2018-mco,2018,Race,causing_collision,16,28,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,71,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-mex-3075233c69d9-01,adj-f55b2703a638bc6a,incident-src-f55b2703a638bc6a,fia-2018-mex-3075233c69d9,2018-mex,2018,Race,forcing_off_track,31,10,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-mex-9fdf8480489c-01,adj-ed88cdc8e4ae5c06,incident-src-ed88cdc8e4ae5c06,fia-2018-mex-9fdf8480489c,2018-mex,2018,Race,causing_collision,28,31,wholly_to_blame,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,apex,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-rus-cf28ebf731bb-01,adj-76bf6d21078e4ab1,incident-src-76bf6d21078e4ab1,fia-2018-rus-cf28ebf731bb,2018-rus,2018,Race,multiple_defensive_moves,5,,not_applicable,no_further_action,,,,pre_driving_guidelines,model_reviewed_corrected,16,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-sgp-21e75b934044-01,adj-793e772ff47ab03e,incident-src-793e772ff47ab03e,fia-2018-sgp-21e75b934044,2018-sgp,2018,Race,causing_collision,20,28,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-sgp-329a49e8cbe6-01,adj-e07caee25859dbf7,incident-src-e07caee25859dbf7,fia-2018-sgp-329a49e8cbe6,2018-sgp,2018,Race,forcing_off_track,35,28,no_conclusion,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_corrected,43,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-sgp-bcfc0b21409a-01,adj-153d9abced4119b1,incident-src-153d9abced4119b1,fia-2018-sgp-bcfc0b21409a,2018-sgp,2018,Race,causing_collision,11,31,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,model_reviewed_source_or_timing,True,False,False,unknown,alongside,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-sgp-d22646811c1a-01,adj-3ca06449fb896289,incident-src-3ca06449fb896289,fia-2018-sgp-d22646811c1a,2018-sgp,2018,Race,causing_collision,11,35,no_conclusion,drive_through,,3,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-usa-2f4f21fa003f-01,adj-f66c13b6dc6edb50,incident-src-f66c13b6dc6edb50,fia-2018-usa-2f4f21fa003f,2018-usa,2018,Race,causing_collision,8,16,no_conclusion,grid_penalty,,1,3,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-usa-49d225f5fb07-01,adj-8c049b3df629e78e,incident-src-8c049b3df629e78e,fia-2018-usa-49d225f5fb07,2018-usa,2018,Race,gaining_advantage_off_track,55,8,not_applicable,time_penalty,5,1,,pre_driving_guidelines,model_reviewed_corrected,1,race_control_explicit_lap_candidate_link,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-usa-856ae8b1622a-01,adj-e7b2995ef053dcc6,incident-src-e7b2995ef053dcc6,fia-2018-usa-856ae8b1622a,2018-usa,2018,Race,causing_collision,18,14,wholly_to_blame,drive_through,,2,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-usa-b97b2be7b15e-01,adj-225ff90f36c849d0,incident-src-225ff90f36c849d0,fia-2018-usa-b97b2be7b15e,2018-usa,2018,Race,causing_collision,3,5,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,race_control_explicit_lap_candidate_link,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-usa-dc3270dd6cb6-01,adj-99ac5bce501847b9,incident-src-99ac5bce501847b9,fia-2018-usa-dc3270dd6cb6,2018-usa,2018,Race,causing_collision,5,3,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,race_control_explicit_lap_candidate_link,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-abu-e94aca06904a-01,adj-995c2c2bf5c5a2da,incident-group-8adf0ddcdc980b9a,fia-2019-abu-e94aca06904a,2019-abu,2019,Race,causing_collision,88,99,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-abu-eed6b57f5b3f-01,adj-bff9e3e79b9d2b32,incident-group-8adf0ddcdc980b9a,fia-2019-abu-eed6b57f5b3f,2019-abu,2019,Race,causing_collision,99,88,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-aut-529bae08f480-01,adj-524c6675088fdc18,incident-src-524c6675088fdc18,fia-2019-aut-529bae08f480,2019-aut,2019,Race,causing_collision,33,16,racing_incident,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,69,model_reviewed_source_or_timing,False,False,False,inside,alongside,apex,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-aut-f8011f674d7f-01,adj-a7a3ac083e4cb040,incident-src-a7a3ac083e4cb040,fia-2019-aut-f8011f674d7f,2019-aut,2019,Race,causing_collision,16,33,racing_incident,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,69,model_reviewed_source_or_timing,False,False,False,inside,alongside,apex,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-aze-9a6772a3acaf-01,adj-58045adf2d642c7b,incident-src-58045adf2d642c7b,fia-2019-aze-9a6772a3acaf,2019-aze,2019,Race,causing_collision,3,26,no_conclusion,grid_penalty,,2,3,pre_driving_guidelines,model_reviewed_corrected,31,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-bel-0c5b8806e8e5-01,adj-12ea78eb0fa53af2,incident-src-12ea78eb0fa53af2,fia-2019-bel-0c5b8806e8e5,2019-bel,2019,Race,forcing_off_track,11,23,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_corrected,44,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-bhr-132a9d8aa9de-01,adj-8f6c033b94586d1e,incident-src-8f6c033b94586d1e,fia-2019-bhr-132a9d8aa9de,2019-bhr,2019,Race,causing_collision,33,55,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-bhr-1365948cf7e0-01,adj-8ac64d49533b4e49,incident-src-8ac64d49533b4e49,fia-2019-bhr-1365948cf7e0,2019-bhr,2019,Race,causing_collision,99,26,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,12,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-bhr-2a5a65873384-01,adj-5375e3c95251badb,incident-src-5375e3c95251badb,fia-2019-bhr-2a5a65873384,2019-bhr,2019,Race,causing_collision,55,33,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-bhr-afcfec60fa35-01,adj-a2465e3be559632e,incident-src-a2465e3be559632e,fia-2019-bhr-afcfec60fa35,2019-bhr,2019,Race,causing_collision,26,99,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,12,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-bra-0197a870d5b2-01,adj-bb68ecdf3fcd7591,incident-group-0717c3bfd5f08779,fia-2019-bra-0197a870d5b2,2019-bra,2019,Race,causing_collision,16,5,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2019-bra-38ee05c4fb59-01,adj-14f4d4ae4c61c0d1,incident-group-0717c3bfd5f08779,fia-2019-bra-38ee05c4fb59,2019-bra,2019,Race,causing_collision,5,16,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
